"activity_main","","","","","","","","","","","","","","","","活动开启时不允许调时间","","","","","",""
"id","type","manifest","atlas","icon","name","description_big","description","activity_center_tag_type","is_list","is_msg_box","msg_box_rank","date_type","start_week","start_day","start_time","end_day","interval","priority","display_date","scope_type","iap_package_group_id",""
"optional_lord_equip_group_4zhe_7","optional_gift","Activity","Activity","","optional_type_1_tag_name","","","","0","0","0","2","9999","3","","2","9999","","0","1","","（半自选）指挥官装备4折_7"
"optional_lord_equip_group_4zhe_8","optional_gift","Activity","Activity","","optional_type_1_tag_name","","","","0","0","0","2","9999","3","","2","9999","","0","1","","（半自选）指挥官装备4折_8"
"optional_lord_equip_group_3zhe_1","optional_gift","Activity","Activity","","optional_type_1_tag_name","","","","0","0","0","2","9999","3","","2","9999","","0","1","","（半自选）指挥官装备3折_1"
"optional_lord_equip_group_3zhe_2","optional_gift","Activity","Activity","","optional_type_1_tag_name","","","","0","0","0","2","9999","3","","2","9999","","0","1","","（半自选）指挥官装备3折_1"
"free_lord_equip_group_6zhe_1","optional_gift","Activity","Activity","","optional_type_8_tag_name","","","","0","0","0","2","9999","3","","2","9999","","0","1","","（全自选）指挥官装备6折_1"
"free_lord_equip_group_6zhe_2","optional_gift","Activity","Activity","","optional_type_8_tag_name","","","","0","0","0","2","9999","3","","2","9999","","0","1","","（全自选）指挥官装备6折_2"
"free_lord_equip_group_6zhe_3","optional_gift","Activity","Activity","","optional_type_8_tag_name","","","","0","0","0","2","9999","3","","2","9999","","0","1","","（全自选）指挥官装备6折_3"
"free_lord_equip_group_6zhe_4","optional_gift","Activity","Activity","","optional_type_8_tag_name","","","","0","0","0","2","9999","3","","2","9999","","0","1","","（全自选）指挥官装备6折_4"
"free_lord_equip_group_4zhe_1","optional_gift","Activity","Activity","","optional_type_8_tag_name","","","","0","0","0","2","9999","3","","2","9999","","0","1","","（全自选）指挥官装备4折_1"
"free_lord_equip_group_4zhe_2","optional_gift","Activity","Activity","","optional_type_8_tag_name","","","","0","0","0","2","9999","3","","2","9999","","0","1","","（全自选）指挥官装备4折_2"
"free_lord_equip_group_4zhe_3","optional_gift","Activity","Activity","","optional_type_8_tag_name","","","","0","0","0","2","9999","3","","2","9999","","0","1","","（全自选）指挥官装备4折_3"
"free_lord_equip_group_4zhe_4","optional_gift","Activity","Activity","","optional_type_8_tag_name","","","","0","0","0","2","9999","3","","2","9999","","0","1","","（全自选）指挥官装备4折_4"
"free_lord_equip_group_4zhe_5","optional_gift","Activity","Activity","","optional_type_8_tag_name","","","","0","0","0","2","9999","3","","2","9999","","0","1","","（全自选）指挥官装备4折_5"
"free_lord_equip_group_4zhe_6","optional_gift","Activity","Activity","","optional_type_8_tag_name","","","","0","0","0","2","9999","3","","2","9999","","0","1","","（全自选）指挥官装备4折_6"
"free_lord_equip_group_4zhe_7","optional_gift","Activity","Activity","","optional_type_8_tag_name","","","","0","0","0","2","9999","3","","2","9999","","0","1","","（全自选）指挥官装备4折_7"
"free_lord_equip_group_4zhe_8","optional_gift","Activity","Activity","","optional_type_8_tag_name","","","","0","0","0","2","9999","3","","2","9999","","0","1","","（全自选）指挥官装备4折_8"
"free_lord_equip_group_3zhe_1","optional_gift","Activity","Activity","","optional_type_8_tag_name","","","","0","0","0","2","9999","3","","2","9999","","0","1","","（全自选）指挥官装备3折_1"
"free_lord_equip_group_3zhe_2","optional_gift","Activity","Activity","","optional_type_8_tag_name","","","","0","0","0","2","9999","3","","2","9999","","0","1","","（全自选）指挥官装备3折_1"
"free_lord_gem_group_7zhe_1","optional_gift","Activity","Activity","","optional_type_7_tag_name","","","","0","0","0","2","10","3","","2","1","","0","1","","组件自订7折"
"free_lord_gem_group_7zhe_2","optional_gift","Activity","Activity","","optional_type_7_tag_name","","","","0","0","0","2","10","3","","2","1","","0","1","","组件自订7折"
"free_lord_gem_group_7zhe_3","optional_gift","Activity","Activity","","optional_type_7_tag_name","","","","0","0","0","2","10","3","","2","1","","0","1","","组件自订7折"
"free_lord_gem_group_7zhe_4","optional_gift","Activity","Activity","","optional_type_7_tag_name","","","","0","0","0","2","10","3","","2","1","","0","1","","组件自订7折"
"free_lord_gem_group_7zhe_5","optional_gift","Activity","Activity","","optional_type_7_tag_name","","","","0","0","0","2","10","3","","2","1","","0","1","","组件自订7折"
"free_lord_gem_group_7zhe_6","optional_gift","Activity","Activity","","optional_type_7_tag_name","","","","0","0","0","2","10","3","","2","1","","0","1","","组件自订7折"
"free_lord_gem_group_4zhe_1","optional_gift","Activity","Activity","","optional_type_7_tag_name","","","","0","0","0","2","10","3","","2","1","","0","1","","组件自订4折"
"free_lord_gem_group_4zhe_2","optional_gift","Activity","Activity","","optional_type_7_tag_name","","","","0","0","0","2","10","3","","2","1","","0","1","","组件自订4折"
"free_lord_gem_group_4zhe_3","optional_gift","Activity","Activity","","optional_type_7_tag_name","","","","0","0","0","2","10","3","","2","1","","0","1","","组件自订4折"
"free_lord_gem_group_4zhe_4","optional_gift","Activity","Activity","","optional_type_7_tag_name","","","","0","0","0","2","10","3","","2","1","","0","1","","组件自订4折"
"free_lord_gem_group_3zhe_1","optional_gift","Activity","Activity","","optional_type_7_tag_name","","","","0","0","0","2","10","3","","2","1","","0","1","","组件自订3折"
"free_lord_gem_group_3zhe_2","optional_gift","Activity","Activity","","optional_type_7_tag_name","","","","0","0","0","2","10","3","","2","1","","0","1","","组件自订3折"
"free_lord_gem_group_3zhe_3","optional_gift","Activity","Activity","","optional_type_7_tag_name","","","","0","0","0","2","10","3","","2","1","","0","1","","组件自订3折"
"free_lord_gem_group_3zhe_4","optional_gift","Activity","Activity","","optional_type_7_tag_name","","","","0","0","0","2","10","3","","2","1","","0","1","","组件自订3折"
"free_lord_gem_group_3zhe_5","optional_gift","Activity","Activity","","optional_type_7_tag_name","","","","0","0","0","2","10","3","","2","1","","0","1","","组件自订3折"
"free_lord_gem_group_2zhe_1","optional_gift","Activity","Activity","","optional_type_7_tag_name","","","","0","0","0","2","10","3","","2","1","","0","1","","组件自订2折"
"free_lord_gem_group_2zhe_2","optional_gift","Activity","Activity","","optional_type_7_tag_name","","","","0","0","0","2","10","3","","2","1","","0","1","","组件自订2折"
"activity_continuous_recharge_1","continuous_recharge","Activity","Activity","","","","","","0","","","3","","","","","","","","1","",""
"activity_continuous_recharge_2","continuous_recharge","Activity","Activity","","","","","","0","","","3","","","","","","","","1","",""
"activity_month_short_term_goal_valentines2021","short_term_goal","Activity","Activity","icon_event_Valentines2021_short_goat","event_activity_month_short_term_goal_valentines2021_title","event_activity_month_short_term_goal_valentines2021_des","event_activity_month_short_term_goal_valentines2021_des1","activity_center_tag_festival","1","1","1","3","","99999","","7","9999","20200","1","1","iap_package_valentines2021,iap_package_valentines2021_equipment_1,iap_package_valentines2021_equipment_2,iap_package_valentines2021_equipment_gem_rare,iap_package_valentines2021_equipment_gem_normal,iap_package_valentines2021_honor_buildings_coin,iap_package_valentines2021_hero_equipment_design_material,iap_package_valentines2021_hero_equipment_design_hound1,iap_package_valentines2021_hero_equipment_design_bison","情人节活动"
"activity_month_drop_valentines2021","month_drop","Activity","Activity","icon_event_Valentines2021_point","event_activity_month_drop_valentines2021_title","event_activity_month_drop_valentines2021_des","event_activity_month_drop_valentines2021_des","activity_center_tag_festival","1","0","99","3","","99999","","7","9999","20400","0","1","","情人节活动"
"activity_month_view_carnival2021","month_view","Activity","Activity","icon_event_carnival2021_activity_overview","event_activity_month_view_carnival2021_title","event_activity_month_view_carnival2021_des","event_activity_month_view_carnival2021_des1","activity_center_tag_festival","1","1","1","3","","99999","","7","9999","20100","2","1","iap_package_carnival2021,iap_package_carnival2021_equipment_1,iap_package_carnival2021_equipment_2,iap_package_carnival2021_equipment_gem_rare,iap_package_carnival2021_equipment_gem_normal,iap_package_carnival2021_honor_buildings_coin,iap_package_carnival2021_hero_equipment_design_material,iap_package_carnival2021_hero_equipment_design_hound1,iap_package_carnival2021_hero_equipment_design_bison","狂欢节活动"
"activity_month_battlepass_carnival2021","month_battle_pass","Activity","Activity","icon_event_carnival2021_activity_battlepass","event_activity_month_battlepass_carnival2021_title","event_activity_month_battlepass_carnival2021_des","event_activity_month_battlepass_carnival2021_des","activity_center_tag_festival","1","0","99","3","","99999","","7","9999","20200","0","1","","狂欢节活动"
"activity_score_21","score_active","Activity","Activity","icon_event_carnival2021_activity_cash","event_activity_month_score_carnival2021_title","event_activity_month_score_carnival2021_des","event_activity_month_score_carnival2021_des","activity_center_tag_festival","1","0","99","3","","99999","","7","9999","20300","2","1","","狂欢节活动"
"activity_month_drop_carnival2021","month_drop","Activity","Activity","icon_event_carnival2021_activity_point","event_activity_month_drop_carnival2021_title","event_activity_month_drop_carnival2021_des","event_activity_month_drop_carnival2021_des","activity_center_tag_festival","1","0","99","3","","99999","","7","9999","20400","0","1","","狂欢节活动"
"activity_month_boss_carnival2021","month_boss","Activity","Activity","icon_event_carnival2021_activity_boss","event_activity_month_boss_carnival2021_title","event_activity_month_boss_carnival2021_des","event_activity_month_boss_carnival2021_des","activity_center_tag_festival","1","0","99","3","","99999","","3","9999","20500","0","1","","狂欢节活动"
"activity_month_top_up_carnival2021","month_top_up","Activity","Activity","","","","","activity_center_tag_festival","0","0","99","3","","99999","","7","9999","20600","0","1","","狂欢节活动"
"activity_supply_1","activity_supply","Activity","Activity","","activity_supply_1_name","","","","0","0","99","1","","3","","28","9999","","0","1","","补给计划（全服）"
"activity_supply_2","activity_supply","Activity","Activity","","activity_supply_2_name","","","","0","0","99","5","","1","","28","9999","","0","2","","补给计划（个人）"
"activity_month_short_term_goal_tree2021","short_term_goal","Activity","Activity","icon_event_tree2021_short_goat","event_activity_month_short_term_goal_tree2021_title","event_activity_month_short_term_goal_tree2021_des","event_activity_month_short_term_goal_tree2021_des1","activity_center_tag_festival","1","1","1","3","","99999","","7","9999","20200","1","1","iap_package_tree2021,iap_package_tree2021_equipment_1,iap_package_tree2021_equipment_2,iap_package_tree2021_equipment_gem_rare,iap_package_tree2021_equipment_gem_normal,iap_package_tree2021_honor_buildings_coin,iap_package_tree2021_hero_equipment_design_material,iap_package_tree2021_hero_equipment_design_hound1,iap_package_tree2021_hero_equipment_design_bison","植树节活动"
"activity_month_drop_tree2021","month_drop","Activity","Activity","icon_event_tree2021_point","event_activity_month_drop_tree2021_title","event_activity_month_drop_tree2021_des","event_activity_month_drop_tree2021_des","activity_center_tag_festival","1","0","99","3","","99999","","7","9999","20400","0","1","","植树节活动"
"activity_continuous_recharge_tree2021","continuous_recharge","Activity","Activity","","","","","","0","","","3","","","","","","","","1","","植树节活动"
"activity_month_view_easter2021","month_view","Activity","Activity","icon_event_easter2021_activity_overview","event_activity_month_view_easter2021_title","event_activity_month_view_easter2021_des","event_activity_month_view_easter2021_des1","activity_center_tag_festival","1","1","1","3","","99999","","7","9999","20100","2","1","iap_package_easter2021,iap_package_easter2021_equipment_1,iap_package_easter2021_equipment_2,iap_package_easter2021_equipment_gem_rare,iap_package_easter2021_equipment_gem_normal,iap_package_easter2021_honor_buildings_coin,iap_package_easter2021_hero_equipment_design_material,iap_package_easter2021_hero_equipment_design_hound1,iap_package_easter2021_hero_equipment_design_bison","复活节活动"
"activity_month_battlepass_easter2021","month_battle_pass","Activity","Activity","icon_event_easter2021_activity_battlepass","event_activity_month_battlepass_easter2021_title","event_activity_month_battlepass_easter2021_des","event_activity_month_battlepass_easter2021_des","activity_center_tag_festival","1","0","99","3","","99999","","7","9999","20200","0","1","","复活节活动"
"activity_score_24","score_active","Activity","Activity","icon_event_easter2021_activity_cash","event_activity_month_score_easter2021_title","event_activity_month_score_easter2021_des","event_activity_month_score_easter2021_des","activity_center_tag_festival","1","0","99","3","","99999","","7","9999","20300","2","1","","复活节活动"
"activity_month_drop_easter2021","month_drop","Activity","Activity","icon_event_easter2021_activity_point","event_activity_month_drop_easter2021_title","event_activity_month_drop_easter2021_des","event_activity_month_drop_easter2021_des","activity_center_tag_festival","1","0","99","3","","99999","","7","9999","20400","0","1","","复活节活动"
"activity_month_boss_easter2021","month_boss","Activity","Activity","icon_event_easter2021_activity_boss","event_activity_month_boss_easter2021_title","event_activity_month_boss_easter2021_des","event_activity_month_boss_easter2021_des","activity_center_tag_festival","1","0","99","3","","99999","","3","9999","20500","0","1","","复活节活动"
"activity_month_top_up_easter2021","month_top_up","Activity","Activity","","","","","activity_center_tag_festival","0","0","99","3","","99999","","7","9999","20600","0","1","","复活节活动"
"activity_month_short_term_goal_sport2021","short_term_goal","Activity","Activity2","icon_event_sport2021_short_goat","event_activity_month_short_term_goal_sport2021_title","event_activity_month_short_term_goal_sport2021_des","event_activity_month_short_term_goal_sport2021_des1","activity_center_tag_festival","1","1","1","3","","99999","","7","9999","20200","1","1","iap_package_sport2021,iap_package_sport2021_equipment_1,iap_package_sport2021_equipment_2,iap_package_sport2021_equipment_gem_rare,iap_package_sport2021_equipment_gem_normal,iap_package_sport2021_honor_buildings_coin,iap_package_sport2021_hero_equipment_design_material,iap_package_sport2021_hero_equipment_design_hound1,iap_package_sport2021_hero_equipment_design_bison","体育节活动"
"activity_month_drop_sport2021","month_drop","Activity","Activity2","icon_event_sport2021_point","event_activity_month_drop_sport2021_title","event_activity_month_drop_sport2021_des","event_activity_month_drop_sport2021_des","activity_center_tag_festival","1","0","99","3","","99999","","7","9999","20400","0","1","","体育节活动"
"activity_continuous_recharge_sport2021","continuous_recharge","Activity","Activity2","","","","","","0","","","3","","","","","","","","1","","体育节活动"
"activity_month_view_foodfestival2021","month_view","Activity","Activity2","icon_event_foodfestival2021_activity_overview","event_activity_month_view_foodfestival2021_title","event_activity_month_view_foodfestival2021_des","event_activity_month_view_foodfestival2021_des1","activity_center_tag_festival","1","1","1","3","","99999","","7","9999","20100","0","1","iap_package_foodfestival2021,iap_package_foodfestival2021_equipment_1,iap_package_foodfestival2021_equipment_2,iap_package_foodfestival2021_equipment_gem_rare,iap_package_foodfestival2021_equipment_gem_normal,iap_package_foodfestival2021_honor_buildings_coin,iap_package_foodfestival2021_hero_equipment_design_material,iap_package_foodfestival2021_hero_equipment_design_hound1,iap_package_foodfestival2021_hero_equipment_design_bison","美食节活动"
"activity_month_battlepass_foodfestival2021","month_battle_pass","Activity","Activity2","icon_event_foodfestival2021_activity_battlepass","event_activity_month_battlepass_foodfestival2021_title","event_activity_month_battlepass_foodfestival2021_des","event_activity_month_battlepass_foodfestival2021_des","activity_center_tag_festival","1","0","99","3","","99999","","7","9999","20200","0","1","","美食节活动"
"activity_score_25","score_active","Activity","Activity2","icon_event_foodfestival2021_activity_cash","event_activity_month_score_foodfestival2021_title","event_activity_month_score_foodfestival2021_des","event_activity_month_score_foodfestival2021_des","activity_center_tag_festival","1","0","99","3","","99999","","7","9999","20300","0","1","","美食节活动"
"activity_month_drop_foodfestival2021","month_drop","Activity","Activity2","icon_event_foodfestival2021_activity_point","event_activity_month_drop_foodfestival2021_title","event_activity_month_drop_foodfestival2021_des","event_activity_month_drop_foodfestival2021_des","activity_center_tag_festival","1","0","99","3","","99999","","7","9999","20400","0","1","","美食节活动"
"activity_month_boss_foodfestival2021","month_boss","Activity","Activity2","icon_event_foodfestival2021_activity_boss","event_activity_month_boss_foodfestival2021_title","event_activity_month_boss_foodfestival2021_des","event_activity_month_boss_foodfestival2021_des","activity_center_tag_festival","1","0","99","3","","99999","","3","9999","20500","0","1","","美食节活动"
"activity_month_top_up_foodfestival2021","month_top_up","Activity","Activity2","","","","","activity_center_tag_festival","0","0","99","3","","99999","","7","9999","20600","0","1","","美食节活动"
"activity_month_short_term_goal_labour2021","short_term_goal","Activity","Activity2","icon_event_labour2021_short_goat","event_activity_month_short_term_goal_labour2021_title","event_activity_month_short_term_goal_labour2021_des","event_activity_month_short_term_goal_labour2021_des1","activity_center_tag_festival","1","1","1","3","","99999","","7","9999","20200","0","1","iap_package_labour2021,iap_package_labour2021_equipment_1,iap_package_labour2021_equipment_2,iap_package_labour2021_equipment_gem_rare,iap_package_labour2021_equipment_gem_normal,iap_package_labour2021_honor_buildings_coin,iap_package_labour2021_hero_equipment_design_material,iap_package_labour2021_hero_equipment_design_hound1,iap_package_labour2021_hero_equipment_design_bison","2021劳动节活动"
"activity_month_drop_labour2021","month_drop","Activity","Activity2","icon_event_labour2021_point","event_activity_month_drop_labour2021_title","event_activity_month_drop_labour2021_des","event_activity_month_drop_labour2021_des","activity_center_tag_festival","1","0","99","3","","99999","","7","9999","20400","0","1","","2021劳动节活动"
"activity_continuous_recharge_labour2021","continuous_recharge","Activity","Activity2","","","","","","0","","","3","","","","","","","","1","","2021劳动节活动"
"battle_pass_9","battle_pass_1","Activity","Activity","icon_event_battlepass_gorilla","id_valor_event_name_1","id_valor_event_description_1","id_valor_event_description_1","activity_center_tag_hot","1","1","1","2","","","","14","1","30700","1","1","","第9期battlepass-屠夫男"
"activity_super_exchange_hero_27_1","super_exchange","Activity","Activity2","icon_super_change_hero_27_enter","id_super_change_title","id_super_change_synopsis","id_super_change_synopsis","activity_center_tag_hot","1","0","1","2","","","","3","1","30000","0","1","iap_package_super_exchange_hero_27","超级兑换-伐木工"
"activity_roulette_hero_30_1","roulette","Activity","Activity","icon_event_dish_of_wheel","activity_roulette_name","activity_roulette_description","activity_roulette_description","activity_center_tag_hot","1","1","1","2","","","","3","1","30100","1","1","iap_package_roulette_group_hero_30_1_1,iap_package_roulette_group_hero_30_1_2,iap_package_roulette_group_hero_30_1_3,iap_package_roulette_group_hero_30_1_4,iap_package_roulette_group_hero_30_1_5,iap_package_roulette_group_hero_30_1_6","轮盘-摄影女"
"activity_score_26","score_active","Activity","Activity","icon_event_01","event_points_event_name","event_gold_one_line_description","event_gold_event_description","activity_center_tag_race","1","1","1","2","11","1","","7","1","10400","1","1","iap_package_goldevent_group,iap_package_event_gorilla_goldevent,iap_package_gem_goldevent_1,iap_package_honor_buildings_activity_new","加速 轮盘 训练 组件 战力 装备 英雄"

